carat,cut,color,clarity,depth,table,price,x,y,z
0.54,Premium,D,VS2,61.5,58,1892,5.21,5.26,3.22
0.41,Premium,G,VVS1,60.3,60,1230,4.78,4.74,2.87
0.7,Ideal,E,VVS1,61.8,55,5338,5.69,5.73,3.53
0.71,Ideal,F,VS1,62.6,57,3199,5.7,5.73,3.58
0.5,Ideal,D,VS1,62.4,53.7,2033,5.08,5.12,3.18
1.56,Ideal,J,VS2,62.4,57,7809,7.39,7.46,4.63
0.55,Very Good,E,VS2,58.1,62,1589,5.38,5.46,3.15
0.51,Ideal,G,VS1,62.1,55,1781,5.17,5.14,3.2
0.3,Very Good,G,VVS2,63.5,56,878,4.34,4.29,2.74
1.29,Ideal,F,VS1,62.3,54,10923,7,6.93,4.34
0.35,Ideal,G,IF,61.3,55,1001,4.57,4.6,2.81
0.53,Ideal,D,VS2,61.5,56,1857,5.17,5.23,3.2
1.2,Ideal,I,SI1,61.8,56,5510,6.8,6.77,4.19
0.7,Ideal,E,SI1,62.4,55,2703,5.66,5.69,3.54
0.65,Very Good,D,SI1,62.4,58,1945,5.52,5.57,3.46
2.11,Very Good,G,SI2,62.2,60,16188,8.15,8.19,5.08
0.54,Good,G,SI1,63.2,56,1292,5.16,5.19,3.27
1.02,Premium,I,SI1,62.7,55,4284,6.48,6.41,4.04
1.57,Ideal,J,SI1,62,56,7640,7.5,7.46,4.64
0.54,Ideal,G,VS1,61.4,55,1868,5.26,5.3,3.24
0.4,Very Good,D,VS2,62.8,57,982,4.68,4.72,2.95
0.32,Ideal,F,VVS2,61.9,57,1008,4.39,4.36,2.71
0.4,Very Good,D,SI1,63.1,57,924,4.73,4.69,2.97
1.69,Premium,I,I1,62.4,60,6436,7.59,7.56,4.73
1.23,Very Good,H,VS1,61.3,53,7276,6.93,6.98,4.26
1.5,Very Good,F,VS2,62.6,59,12870,7.22,7.31,4.55
0.62,Ideal,H,IF,61.9,55,2469,5.5,5.52,3.41
1.26,Premium,E,SI2,62.9,59,6085,6.85,6.82,4.3
